files/4ds.odin:                                                                                   ASCII text
files/CIMI-CORE-ITEM_GROUP.ace_serplccnc.v1.0.0.odin:                                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acetamin_cry_num_per_area_urns_hpf.v1.0.0.odin:                        UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acetamin_cry_urns_ql_micro.v1.0.0.odin:                                UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acetone_serpl_ql_scn.v1.0.0.odin:                                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acetone_serplmcnc.v1.0.0.odin:                                         UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acetone_ur_ql.v1.0.0.odin:                                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.achr_ab_serscnc.v1.0.0.odin:                                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.achr_ab_serscnc_post_by_ser_eiascnc.v1.0.0.odin:                       UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.achr_ab_serscnc_pre_by_ser_eiascnc.v1.0.0.odin:                        UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.achr_bind_ab_serscnc.v1.0.0.odin:                                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.achr_mod_ab_achr_total_sfr_ser.v1.0.0.odin:                            UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acid_citrate_dextrose_vol_bpu.v1.0.0.odin:                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acid_fast_mod_kiny_stn_xxx.v1.0.0.odin:                                UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acid_fast_stn_xxx.v1.0.0.odin:                                         UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.act_bld.v1.0.0.odin:                                                   UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acth_plasmcnc.v1.0.0.odin:                                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acth_plasmcnc_post_by_plas_riamcnc.v1.0.0.odin:                        UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acth_plasmcnc_pre_by_plas_riamcnc.v1.0.0.odin:                         UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.actin_igg_serplacnc.v1.0.0.odin:                                       UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.action.v1.0.0.odin:                                                    UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.action_set.v1.0.0.odin:                                                UTF-8 Unicode text, with very long lines
